Form,Org,Total Fields,Composed Fields,Coverage %,Pages,Uncomposed Dates,Generic Names,Raw XFA Names,Case Duplicates,Undescribed Booleans,High-Severity Issues,Total Issues,Needs Rework
21P-8416(Spanish),vba,507,227,45,10,0,2,110,0,1,112,113,YES
21-509,vba,132,73,55,4,0,1,53,0,0,54,54,YES
21P-0519C-1(Spanish),vba,153,112,73,3,0,1,41,0,0,42,42,YES
21P-527EZ,vba,519,447,86,17,37,2,0,0,3,39,42,YES
21-8940,vba,176,127,72,4,36,2,0,0,1,38,39,YES
22-10275,vba,61,10,16,3,0,1,38,0,0,39,39,YES
21P-8416,vba,517,452,87,10,23,1,12,0,1,36,37,YES
10-0460,vha,76,46,61,3,0,1,30,0,1,31,32,YES
21-0538,vba,117,117,100,2,15,3,0,1,9,19,28,YES
26-8736b,vba,47,30,64,2,0,0,14,0,14,14,28,YES
26-8736a,vba,37,13,35,1,0,1,24,0,0,25,25,YES
22-10282,vba,34,27,79,2,0,10,4,0,9,14,23,YES
21P-0512s-1,vba,60,42,70,2,0,1,18,0,0,19,19,YES
21-526EZ,vba,345,277,80,15,14,2,0,0,2,16,18,YES
22-0976,vba,82,22,27,4,0,1,17,0,0,18,18,YES
21P-0969,vba,428,250,58,11,16,1,0,0,0,17,17,YES
26-6393,vba,104,59,57,1,0,9,0,0,8,9,17,YES
26-8149,vba,106,65,61,4,0,1,0,0,16,1,17,YES
VA2793,admin,73,41,56,2,0,0,0,0,16,0,16,
21-674,vba,107,104,97,3,14,1,1,0,0,16,16,YES
10-10068b,vha,53,48,91,2,0,1,0,0,14,1,15,YES
VA1011,vha,58,36,62,1,0,0,0,0,15,0,15,
22-10272,vba,21,7,33,3,0,1,14,0,0,15,15,YES
21P-0512V-1,vba,85,62,73,2,0,1,13,0,0,14,14,YES
22-10219,vba,25,10,40,3,0,1,13,0,0,14,14,YES
22-1995,vba,66,47,71,4,0,1,0,0,13,1,14,YES
10-5506,vha,22,2,9,1,0,0,13,0,0,13,13,YES
21P-0517-1(Spanish),vba,140,117,84,3,0,1,12,0,0,13,13,YES
10-7132,vha,49,7,14,1,0,1,10,0,1,11,12,YES
21-2680,vba,118,93,79,4,9,2,0,0,1,11,12,YES
21P-8924,vba,61,54,89,3,11,1,0,0,0,12,12,YES
VA4939,admin,38,34,89,2,0,1,0,0,10,1,11,YES
21P-0969(Spanish),vba,421,259,62,11,11,0,0,0,0,11,11,YES
21-0779,vba,51,48,94,2,9,1,0,0,0,10,10,YES
21P-530EZ,vba,93,73,78,8,6,1,3,0,0,10,10,YES
10-2501,vha,9,0,0,1,0,0,9,0,0,9,9,YES
20-0995,vba,144,124,86,7,8,1,0,0,0,9,9,YES
21P-0512s-1(Spanish),vba,63,38,60,2,0,1,8,0,0,9,9,YES
26-0971,vba,68,39,57,2,0,0,9,0,0,9,9,YES
26-1849,vba,233,13,6,4,0,0,9,0,0,9,9,YES
26-6807,vba,124,89,72,4,0,5,0,0,4,5,9,YES
28-1905m,vba,197,114,58,3,6,1,0,0,2,7,9,YES
VA0730i,admin,49,34,69,1,0,0,0,0,8,0,8,
10-0491I,vha,89,45,51,1,0,1,7,0,0,8,8,YES
20-0996,vba,119,106,89,5,6,1,0,0,1,7,8,YES
21-0781,vba,124,63,51,7,7,1,0,0,0,8,8,YES
21-4193,vba,47,33,70,3,7,1,0,0,0,8,8,YES
VA0744,admin,56,24,43,2,0,1,0,0,6,1,7,YES
21-4170,vba,171,95,56,5,6,1,0,0,0,7,7,YES
10-0396,vha,100,3,3,1,0,0,6,0,0,6,6,YES
20-10208,vba,76,73,96,2,3,2,0,0,1,5,6,YES
21-0966,vba,61,57,93,2,3,2,0,0,1,5,6,YES
21-8951-2,vba,45,42,93,3,3,2,0,0,1,5,6,YES
21P-601,vba,107,95,89,5,0,1,1,0,4,2,6,YES
22-0839,vba,98,27,28,6,0,0,6,0,0,6,6,YES
28-0968,vba,89,49,55,4,3,2,0,0,1,5,6,YES
SF52(ES),other,104,50,48,2,0,1,0,0,4,1,5,YES
10-0426,vha,49,16,33,2,0,1,4,0,0,5,5,YES
10-2804a,vha,65,9,14,1,0,1,3,0,1,4,5,YES
10-3213B,vha,129,10,8,2,0,0,5,0,0,5,5,YES
10-4236a,vha,22,21,95,1,0,0,0,0,5,0,5,
10-4794,vha,22,12,55,1,0,1,4,0,0,5,5,YES
21-0845,vba,77,55,71,3,0,2,0,0,3,2,5,YES
21-0972,vba,61,59,97,3,3,1,0,0,1,4,5,YES
21-22a,vba,90,84,93,3,3,1,0,0,1,4,5,YES
21-4142,vba,140,100,71,5,3,1,0,0,1,4,5,YES
21P-0537,vba,37,26,70,3,0,1,4,0,0,5,5,YES
22-10278,vba,86,63,73,5,3,1,0,0,1,4,5,YES
26-10280,vba,17,13,76,2,0,1,4,0,0,5,5,YES
26-10280a,vba,14,10,71,2,0,1,4,0,0,5,5,YES
28-1900,vba,41,37,90,3,3,1,0,0,1,4,5,YES
VA0381,admin,31,17,55,1,0,2,0,0,2,2,4,YES
10-0491D,vha,59,29,49,1,0,1,3,0,0,4,4,YES
20-10206,vba,96,62,65,4,0,1,2,0,1,3,4,YES
21-4502,vba,90,79,88,4,0,2,1,0,1,3,4,YES
21P-4165,vba,106,55,52,3,0,1,3,0,0,4,4,YES
22-1990e,vba,63,42,67,4,3,1,0,0,0,4,4,YES
22-1990n,vba,75,39,52,4,0,1,0,1,2,2,4,YES
26-1852,vba,644,36,6,6,0,1,0,3,0,4,4,YES
26-8827,vba,18,15,83,1,0,2,1,0,1,3,4,YES
28-10281,vba,43,42,98,3,0,2,1,0,1,3,4,YES
28-1902w,vba,128,59,46,8,0,2,1,0,1,3,4,YES
29-336,vba,181,181,100,6,3,1,0,0,0,4,4,YES
29-336a,vba,169,169,100,5,3,1,0,0,0,4,4,YES
10-0451,vha,14,7,50,1,0,0,0,0,3,0,3,
10-0491J,vha,22,19,86,1,0,1,2,0,0,3,3,YES
10-2920,vha,40,18,45,1,0,1,0,0,2,1,3,YES
21-4138,vba,33,31,94,2,3,0,0,0,0,3,3,YES
21P-0847,vba,35,34,97,2,3,0,0,0,0,3,3,YES
